time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-26T15:42:57.107Z,-18.1104,-179.352,639.16,6.1,mww,,33,2.497,0.87,us,us6000gfgd,2022-03-05T23:10:42.040Z,"141 km E of Levuka, Fiji",earthquake,8.7,2.7,0.046,45,reviewed,us,us
2021-12-25T10:03:23.721Z,-18.0239,-179.2981,608.57,4.5,mb,,72,8.304,0.91,us,us6000gf77,2022-03-05T23:10:39.040Z,"146 km E of Levuka, Fiji",earthquake,12.2,6.6,0.039,195,reviewed,us,us
2021-12-19T21:16:59.335Z,-17.0764,179.5141,10,4.5,mb,,90,1.545,0.52,us,us6000gely,2022-03-01T16:38:02.040Z,"72 km SSE of Labasa, Fiji",earthquake,6.7,1.9,0.191,11,reviewed,us,us
2021-12-19T16:28:22.616Z,-16.3139,178.5777,10,6.2,mww,,45,1.509,0.64,us,us6000gdma,2022-03-01T16:37:59.040Z,"85 km W of Labasa, Fiji",earthquake,7.6,1.8,0.041,57,reviewed,us,us
2021-11-24T05:53:48.053Z,-16.9602,175.2221,10,5.6,mwb,,67,2.813,0.74,us,us7000fwms,2022-01-29T22:55:37.040Z,"247 km WNW of Lautoka, Fiji",earthquake,2.9,1.8,0.051,37,reviewed,us,us
2021-11-24T04:29:01.902Z,-16.6913,175.1765,10,5.4,mww,,43,2.941,0.59,us,us7000fwm8,2022-01-29T22:55:37.040Z,"262 km WNW of Lautoka, Fiji",earthquake,8.4,1.8,0.098,10,reviewed,us,us
2021-11-24T04:17:52.717Z,-16.8108,175.2846,10,5.3,mww,,66,2.803,0.77,us,us7000fwm4,2022-01-29T22:55:36.040Z,"247 km WNW of Lautoka, Fiji",earthquake,8.2,1.8,0.093,11,reviewed,us,us
2021-11-23T11:54:13.943Z,-16.331,178.1296,10,4.8,mb,,112,1.407,0.39,us,us7000fwf9,2022-01-29T22:55:30.040Z,"132 km W of Labasa, Fiji",earthquake,8.3,1.8,0.042,181,reviewed,us,us
2021-11-22T04:22:29.293Z,-16.6642,175.2724,10,4.5,mb,,97,2.866,0.85,us,us7000fx8y,2022-01-29T22:56:02.040Z,"254 km WNW of Lautoka, Fiji",earthquake,8,1.9,0.164,11,reviewed,us,us
2021-11-21T22:11:44.748Z,-16.8844,175.3521,10,4.9,mb,,49,2.718,0.82,us,us7000fw18,2022-08-06T18:59:55.600Z,"237 km WNW of Lautoka, Fiji",earthquake,4.4,1.8,0.065,73,reviewed,us,us
2021-11-10T01:27:17.386Z,-16.6523,176.9889,10,4.6,mb,,91,1.488,0.76,us,us7000fucd,2022-01-15T20:51:52.040Z,"117 km NNW of Lautoka, Fiji",earthquake,8.9,1.8,0.136,16,reviewed,us,us
2021-10-30T05:39:20.056Z,-16.9036,176.8236,10,4.5,mb,,85,1.441,0.92,us,us7000frer,2022-01-14T17:59:00.040Z,"103 km NW of Lautoka, Fiji",earthquake,10.7,1.9,0.27,4,reviewed,us,us
2021-10-11T19:10:49.193Z,-16.8442,176.8145,10,4.7,mb,,64,1.483,1.22,us,us6000fuwu,2021-12-18T19:58:54.040Z,"109 km NW of Lautoka, Fiji",earthquake,5.5,1.8,0.195,12,reviewed,us,us
2021-10-10T02:57:14.546Z,-16.539,177.6292,10,4.7,mb,,102,1.265,0.86,us,us6000ful6,2021-12-18T19:58:45.040Z,"110 km N of Ba, Fiji",earthquake,8.6,1,0.158,15,reviewed,us,us
2021-09-24T00:23:04.133Z,-15.8242,-179.8965,10,4.6,mb,,131,2.283,0.71,us,us6000fq5j,2021-12-04T14:28:00.040Z,"103 km NE of Labasa, Fiji",earthquake,12.8,1.9,0.151,13,reviewed,us,us
2021-08-09T03:44:32.105Z,-16.4893,178.2246,10,4.7,mb,,124,1.259,1.32,us,us6000f7yt,2021-10-23T15:46:48.040Z,"121 km W of Labasa, Fiji",earthquake,10.9,1.2,0.175,11,reviewed,us,us
2021-07-17T14:01:49.676Z,-16.1424,178.8926,10,4.7,mb,,129,1.784,0.9,us,us7000emxz,2021-09-25T21:07:59.040Z,"59 km WNW of Labasa, Fiji",earthquake,10.1,1.9,0.113,26,reviewed,us,us
2021-06-19T06:10:56.285Z,-18.0419,176.5649,10,4.7,mb,,110,1.447,0.38,us,us6000epbr,2021-08-27T18:57:32.040Z,"93 km WSW of Nadi, Fiji",earthquake,8,1.9,0.224,7,reviewed,us,us
2021-05-18T14:48:16.879Z,-16.112,179.6208,26.07,4.9,mb,,137,2.211,0.59,us,us7000e5tw,2022-08-09T05:13:36.048Z,"44 km NE of Labasa, Fiji",earthquake,13.3,6.1,0.1,36,reviewed,us,us
2021-04-13T08:02:58.826Z,-18.9328,176.2162,10,4.5,mb,,124,2.106,0.86,us,us6000e38c,2021-06-19T21:26:16.040Z,"178 km SW of Nadi, Fiji",earthquake,12,1.9,0.271,6,reviewed,us,us
2021-04-05T08:11:38.456Z,-17.599,179.189,632.1,4.6,mb,,78,1.092,0.59,us,us6000dz3j,2021-06-12T21:37:17.040Z,"53 km NNW of Levuka, Fiji",earthquake,6.6,6.6,0.034,255,reviewed,us,us
2021-03-20T01:16:56.966Z,-16.9704,176.3388,10,4.8,mb,,216,1.809,0.38,us,us6000dwrl,2021-06-02T15:22:59.040Z,"138 km WNW of Lautoka, Fiji",earthquake,9.4,2,0.249,6,reviewed,us,us
2021-02-08T00:23:49.476Z,-15.7956,177.7189,10,4.6,mb,,103,1.964,0.63,us,us6000dh40,2021-04-22T21:51:15.040Z,"189 km WNW of Labasa, Fiji",earthquake,8.9,1.9,0.096,32,reviewed,us,us
2021-02-02T20:49:27.596Z,-16.282,177.95,10,5.8,mww,,35,4.269,0.79,us,us6000ddzk,2021-04-16T19:03:04.040Z,"141 km NNE of Ba, Fiji",earthquake,8.5,1.7,0.06,27,reviewed,us,us
2021-01-11T19:16:30.997Z,-16.4072,178.0071,10,4.6,mb,,133,1.33,0.66,us,us7000d1qn,2021-03-20T21:24:14.040Z,"Fiji",earthquake,5,1.9,0.181,9,reviewed,us,us
2021-01-10T10:13:35.766Z,-15.7187,-179.3551,10,4.6,mb,,103,1.841,0.44,us,us7000d1ek,2021-03-20T21:23:39.040Z,"158 km ENE of Labasa, Fiji",earthquake,9.3,1.9,0.182,9,reviewed,us,us
2020-12-19T17:34:43.173Z,-16.9056,176.6719,10,4.7,mb,,108,1.56,0.82,us,us6000d272,2021-02-27T23:23:57.040Z,"114 km NW of Lautoka, Fiji",earthquake,11.6,1.9,0.153,15,reviewed,us,us
2020-11-04T13:34:54.342Z,-17.2797,175.6833,10,4.5,mb,,78,2.307,0.36,us,us7000cab0,2021-01-23T22:25:27.040Z,"191 km WNW of Lautoka, Fiji",earthquake,6.3,1.8,0.151,13,reviewed,us,us
2020-09-16T01:14:56.389Z,-18.8766,176.071,27.66,4.6,mb,,118,2.193,1.1,us,us6000bzky,2020-11-28T21:31:44.040Z,"185 km SW of Nadi, Fiji",earthquake,7.1,6.1,0.244,5,reviewed,us,us
2020-09-15T10:55:13.453Z,-14.901,-179.851,10,4.9,mb,,109,1.775,0.75,us,us7000bnh9,2020-11-21T20:10:44.040Z,"189 km NNE of Labasa, Fiji",earthquake,9.4,1.8,0.102,30,reviewed,us,us
